pais;taxa;total;regiao;sub_regiao
Burundi;4,03;436;África;África Oriental
Comores;7,60;60;África;África Oriental
Djibouti;6,77;60;África;África Oriental
Eritreia;7,46;390;África;África Oriental
Etiópia;7,60;7552;África;África Oriental
Quénia;5,75;2648;África;África Oriental
Madagascar;0,62;130;África;África Oriental
Malawi;1,78;279;África;África Oriental
Maurícia;2,71;34;África;África Oriental
Moçambique;3,39;849;África;África Oriental
Ruanda;4,51;500;África;África Oriental
Seicheles;2,15;2;África;África Oriental
Somália;5,56;599 +;África;África Oriental
Sudão do Sul;13,70;1504;África;África Oriental
Uganda;11,84;4473;África;África Oriental
Tanzânia;7,01;3746;África;África Oriental
Zâmbia;5,85;814;África;África Oriental
Zimbabwe;6,74;981;África;África Oriental
Angola;9,65;2414;África;África Central
Camarões;5,93;1385;África;África Central
República Centro-Africana;13,09;642;África;África Central
Chade;9,02;1266;África;África Central
Congo;10,88;466;África;África Central
República Democrática do Congo;13,36;10322;África;África Central
Guiné Equatorial;3,21;27;África;África Central
São Tomé e Príncipe;3,44;6;África;África Central
Gabão;9,0;155;África;África Central
Argélia;1,37;542;África;África Setentrional
Egito;3,23;2703;África;África Setentrional
Líbia;2,49;156 +;África;África Setentrional
Marrocos;1,05;355;África;África Setentrional
Sudão;6,45;2596 + +;África;África Setentrional
Tunísia;3,05;332;África;África Setentrional
Botswana;10,53;220;África;África Austral
Lesoto;38,00;764;África;África Austral
Namíbia;16,93;388;África;África Austral
África do Sul;46,60;27272;África;África Austral
Eswatini;8,16;102;África;África Austral
Benim;6,01;654;África;África Ocidental
Burquina Fasso;0,71;117;África;África Ocidental
Cabo Verde;8,84;46;África;África Ocidental
Costa do Marfim;11,84;2688;África;África Ocidental
Gâmbia;9,07;181;África;África Ocidental
Gana;1,70;423;África;África Ocidental
Guiné;8,46;1067;África;África Ocidental
Guiné-Bissau;9,17;169;África;África Ocidental
Libéria;3,22;135;África;África Ocidental
Mali;10,82;1905;África;África Ocidental
Mauritânia;10,22;416;África;África Ocidental
Níger;4,47;788;África;África Ocidental
Nigéria;32,15;64201;África;África Ocidental
Senegal;7,30;1105;África;África Ocidental
Serra Leoa;1,92;124;África;África Ocidental
Togo;9,14;668;África;África Ocidental
Anguila;27,66;4;América;Caribe
Antígua e Barbuda;11,23;10;América;Caribe
Aruba;3,94;4;América;Caribe
Bahamas;32,10;128;América;Caribe
Barbados;15,00;43;América;Caribe
Ilhas Virgens Britânicas;8,37;2;América;Caribe
Ilhas Cayman;14,74;8;América;Caribe
Cuba;4,72;534;América;Caribe
Domínica;8,40;6;América;Caribe
República Dominicana;10,50;1172;América;Caribe
Granada;7,52;8;América;Caribe
Guadalupe;7,90;36;América;Caribe
Haiti;10,04;1033;América;Caribe
Jamaica;52,92;1498;América;Caribe
Martinica;2,78;11;América;Caribe
Montserrat;20,39;1;América;Caribe
Porto Rico;15,86;584;América;Caribe
São Cristóvão e Nevis;33,55;18;América;Caribe
Santa Lúcia;39,00;70;América;Caribe
São Vicente e Granadinas;30,72;32;América;Caribe
Trinidad e Tobago;39,40;605;América;Caribe
Ilhas Turks e Caicos;77,6;35;América;Caribe
Ilhas Virgens Americanas;52,64;56;América;Caribe
Belize;25,1;113;América;América Central
Costa Rica;11,77;566;América;América Central
El Salvador;7,80;495;América;América Central
Guatemala;17,30;3004;América;América Central
Honduras;35,8;3713;América;América Central
México;25,21;30968 +;América;América do Norte
Nicarágua;6.7;460;América;América Central
Panamá;11,38;447;América;América Central
Bermudas;6,45;4;América;América do Norte
Canadá;2,12;788;América;América do Norte
Gronelândia;12,46;7;América;América do Norte
Estados Unidos;6,84;22941;América;América do Norte
Argentina;4,6;2092;América;América do Sul
Bolívia;12,40;1270;América;América do Sul
Brasil;19,45;41069;América;América do Sul
Chile;4,60;960;América;América do Sul
Colômbia;26,50;12782 +;América;América do Sul
Equador;8,23;1309;América;América do Sul
Guiana Francesa;13,17;30;América;América do Sul
Guiana;16,58;131;América;América do Sul
Paraguai;7,6;512;América;América do Sul
Peru;7,16;2247;América;América do Sul
Suriname;10,68;58;América;América do Sul
